ID,kPEX,kPEX-CTCP,lb,kPlexS,lb
G11,0.37,0.62,62,0.28,59
G12,0.61,1.42,78,1.41,41
G13,3.28,7.11,48,2.64,45
G14,5.57,11.54,83,3.55,80
G15,2.17,6.45,60,3.88,58
G16,1.21,1.98,35,1.67,19
G17,0.64,1.77,47,1.62,46
G18,0.09,0.29,96,0.25,96
G19,0.33,2.16,50,0.98,42
G20,4.13,212.69,27,36.36,16
G21,0.71,1.06,52,0.54,50
G22,2.01,13.12,40,14.09,31
G23,13.07,127.06,17,12.64,16
G24,0.97,2.00,52,0.89,50
G25,2.58,28.37,84,31.63,84
G26,1.07,3.94,887,4.26,887
G27,2.50,16.74,44,15.40,38
G28,142.85,3620.00,23,2068.48,18
G29,2.04,3.18,310,3.05,310
G30,88.80,255.19,75,223.89,22
