graph,KPBB,KPLEX,kPlexS,DiseMKP,KPBB/StrongHeuris,KPBB/RefinedUB,KPBB/RR,rr加速,ub加速,启发式加速
G1,4.51,1154.76,187.41,53.08,4.78,19.11,8.07,0.789356984,0.059866962,3.237250554
G2,1614.44,3620,3620,3620,1635.05,3294.15,2081.46,0.289276777,0.012766037,1.040428879
G3,1538.47,3620,3620,3620,1547.23,3620,2638.06,0.714729569,0.005693969,1.352987059
G4,582.57,3620,3620,3620,585.42,2320.83,3066.11,4.263075682,0.004892116,2.983778773
G5,0.13,0.29,1368.99,0.16,0.11,0.13,0.11,-0.153846154,-0.153846154,0
G6,21.34,3620,3620,3620,53.38,52.17,22.72,0.064667291,1.501405811,1.44470478
G7,380.08,3620,3620,3620,612.57,912.7,411.1,0.081614397,0.611687013,1.401336561
G8,3.16,567.84,3620,27.01,3.15,7.48,17.04,4.392405063,-0.003164557,1.367088608
G9,2.81,411.26,3620,3620,4.16,8.76,3.48,0.238434164,0.480427046,2.117437722
G10,365.02,3620,3620,1101.59,387.66,1328.56,3063.84,7.393622267,0.062023999,2.639690976
G11,4.29,1766.68,3620,3620,4.41,10.87,6.46,0.505827506,0.027972028,1.533799534
G12,0.37,1.3,1.37,432.83,0.79,0.48,0.37,0,1.135135135,0.297297297
G13,55.6,3620,3620,3620,105.01,171.76,90.66,0.63057554,0.888669065,2.089208633
G14,1000.64,3620,3620,3620,1322.46,3620,1638.9,0.637851775,0.321614167,2.617684682
G15,21.2,3620,3620,3620,25.05,39.83,25.07,0.18254717,0.181603774,0.878773585
G16,1.88,58.82,1645.4,884.53,2.4,2.08,2,0.063829787,0.276595745,0.106382979
G17,1.87,3022.1,3620,3620,2.19,4.22,2.16,0.155080214,0.171122995,1.256684492
G18,1.41,2804.46,1108.62,3620,1.08,3.39,1.37,-0.028368794,-0.234042553,1.404255319
G19,0.94,3.59,1.95,1663.41,70.16,0.99,0.78,-0.170212766,73.63829787,0.053191489
G20,7.07,795.2,74.41,1325.3,10.31,6.97,6.73,-0.048090523,0.458274399,-0.014144272
G21,3.14,961.06,3620,3620,3.36,4.05,3.22,0.025477707,0.070063694,0.289808917
G22,2.43,13.58,11.46,17.67,2.43,2.35,2.35,-0.032921811,0,-0.032921811
G23,12.37,136.61,11.87,3620,113.37,12.33,12.03,-0.027485853,8.164915117,-0.00323363
G24,5.5,2979.37,3620,3620,8.86,7.63,6.56,0.192727273,0.610909091,0.387272727
G25,3.82,92.05,3620,3620,3.61,3.51,3.6,-0.057591623,-0.054973822,-0.081151832
G26,4.81,700.66,38.28,7.8,3.89,4.66,4.52,-0.06029106,-0.191268191,-0.031185031
G27,2.89,14.52,15.03,47.94,2.68,2.61,2.44,-0.155709343,-0.07266436,-0.096885813
G28,964.29,3620,1742.62,3620,1199.94,967.46,961.1,-0.003308133,0.244376692,0.003287393
G29,6.25,312.93,3620,3620,10.37,13.47,6.34,0.0144,0.6592,1.1552
G30,623.18,3620,3620,3620,2155.2,2636.85,626.15,0.004765878,2.458390834,3.231281492
